year,local,ctp_eng_nm,CTP_KOR_NM,var,cat
2003,"강원","Gangwon-do","강원도","","통합부채현황(A+B+C+D)(백만원)"
2003,"강원","Gangwon-do","강원도","","자치단체부채(A)(백만원)"
2003,"강원","Gangwon-do","강원도","","지방공공기관부채(B)(백만원)"
2003,"강원","Gangwon-do","강원도","","교육재정부채(C)(백만원)"
2003,"강원","Gangwon-do","강원도","","내(외)부거래(D)(백만원)"
2003,"강원","Gangwon-do","강원도","","통합자산현황(A+B+C+D)(백만원)"
2003,"강원","Gangwon-do","강원도","","자치단체자산(A)(백만원)"
2003,"강원","Gangwon-do","강원도","","지방공공기관자산(B)(백만원)"
2003,"강원","Gangwon-do","강원도","","교육재정자산(C)(백만원)"
2003,"강원","Gangwon-do","강원도","","내(외)부거래(D)(백만원)"
2003,"강원","Gangwon-do","강원도","","통합재정수지비율((A-(B+C))/D)*100"
2003,"강원","Gangwon-do","강원도","","통합재정규모(D)(백만원)"
2003,"강원","Gangwon-do","강원도","","세입(A)(백만원)"
2003,"강원","Gangwon-do","강원도","","지출(B)(백만원)"
2003,"강원","Gangwon-do","강원도","","순융자(C)(백만원)"
2003,"강원","Gangwon-do","강원도","3,122,220","총계 세출결산(A+B+C)(백만원)"
2003,"강원","Gangwon-do","강원도","2,805,872","일반회계 세출결산(A)(백만원)"
2003,"강원","Gangwon-do","강원도","213,556","공기업특별회계 세출결산(B)(백만원)"
2003,"강원","Gangwon-do","강원도","102,793","기타특별회계 세출결산(C)(백만원)"
2003,"강원","Gangwon-do","강원도","68.3","정책사업비중((A+B)/C)"
2003,"강원","Gangwon-do","강원도","8.25","자체사업비중(A/C)"
2003,"강원","Gangwon-do","강원도","60.09","보조사업비중(B/C)"
2003,"강원","Gangwon-do","강원도","115,744","자체사업(A)(백만원)"
2003,"강원","Gangwon-do","강원도","843,325","보조사업(B)(백만원)"
2003,"강원","Gangwon-do","강원도","1,403,470","일반회계예산(C)(백만원)"
2003,"강원","Gangwon-do","강원도","208","주민1인당 지방세부담액(천원)"
2003,"강원","Gangwon-do","강원도","319,800","지방세액(백만원)"
2003,"강원","Gangwon-do","강원도","22,422,806","명목GRDP(시도)(백만원)"
2003,"강원","Gangwon-do","강원도","28,861,908","실질GRDP(시도)(백만원)"
2003,"강원","Gangwon-do","강원도","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"강원","Gangwon-do","강원도","","일반공공행정분야예산액(A)(백만원)"
2003,"강원","Gangwon-do","강원도","","전체예산액(C)(백만원)"
2003,"강원","Gangwon-do","강원도","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"강원","Gangwon-do","강원도","","사회복지분야예산액(D)(백만원)"
2003,"강원","Gangwon-do","강원도","","보건분야예산액(E)(백만원)"
2003,"강원","Gangwon-do","강원도","26.7","재정자립도(%)"
2003,"강원","Gangwon-do","강원도","81.7","재정자주도(%)"
2003,"강원","Gangwon-do","강원도","10.9","고령인구비율(%)"
2003,"강원","Gangwon-do","강원도","1,527,034","인구(명)"
2003,"강원","Gangwon-do","강원도","김진선","당선자"
2003,"강원","Gangwon-do","강원도","한나라당","당선자 정당"
2003,"강원","Gangwon-do","강원도","71.11000061","당선자 득표율"
2003,"강원","Gangwon-do","강원도","남동우","차선자"
2003,"강원","Gangwon-do","강원도","새천년민주당","차선자 정당"
2003,"강원","Gangwon-do","강원도","28.87999916","차선자 득표율"
2003,"경기","Gyeonggi-do","경기도","","통합부채현황(A+B+C+D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","자치단체부채(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","지방공공기관부채(B)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","교육재정부채(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","내(외)부거래(D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","통합자산현황(A+B+C+D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","자치단체자산(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","지방공공기관자산(B)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","교육재정자산(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","내(외)부거래(D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","통합재정수지비율((A-(B+C))/D)*100"
2003,"경기","Gyeonggi-do","경기도","","통합재정규모(D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","세입(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","지출(B)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","순융자(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","9,036,566","총계 세출결산(A+B+C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","7,535,141","일반회계 세출결산(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","947,127","공기업특별회계 세출결산(B)(백만원)"
2003,"경기","Gyeonggi-do","경기도","554,297","기타특별회계 세출결산(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","45.2","정책사업비중((A+B)/C)"
2003,"경기","Gyeonggi-do","경기도","20.03","자체사업비중(A/C)"
2003,"경기","Gyeonggi-do","경기도","25.21","보조사업비중(B/C)"
2003,"경기","Gyeonggi-do","경기도","1,303,331","자체사업(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","1,640,231","보조사업(B)(백만원)"
2003,"경기","Gyeonggi-do","경기도","6,505,798","일반회계예산(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","491","주민1인당 지방세부담액(천원)"
2003,"경기","Gyeonggi-do","경기도","4,870,000","지방세액(백만원)"
2003,"경기","Gyeonggi-do","경기도","164,060,992","명목GRDP(시도)(백만원)"
2003,"경기","Gyeonggi-do","경기도","196,745,165","실질GRDP(시도)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"경기","Gyeonggi-do","경기도","","일반공공행정분야예산액(A)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","전체예산액(C)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"경기","Gyeonggi-do","경기도","","사회복지분야예산액(D)(백만원)"
2003,"경기","Gyeonggi-do","경기도","","보건분야예산액(E)(백만원)"
2003,"경기","Gyeonggi-do","경기도","78","재정자립도(%)"
2003,"경기","Gyeonggi-do","경기도","90.8","재정자주도(%)"
2003,"경기","Gyeonggi-do","경기도","6.5","고령인구비율(%)"
2003,"경기","Gyeonggi-do","경기도","10,206,851","인구(명)"
2003,"경기","Gyeonggi-do","경기도","손학규","당선자"
2003,"경기","Gyeonggi-do","경기도","한나라당","당선자 정당"
2003,"경기","Gyeonggi-do","경기도","58.36999893","당선자 득표율"
2003,"경기","Gyeonggi-do","경기도","진념","차선자"
2003,"경기","Gyeonggi-do","경기도","새천년민주당","차선자 정당"
2003,"경기","Gyeonggi-do","경기도","35.97999954","차선자 득표율"
2003,"경남","Gyeongsangnam-do","경상남도","","통합부채현황(A+B+C+D)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","자치단체부채(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","지방공공기관부채(B)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","교육재정부채(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","내(외)부거래(D)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","통합자산현황(A+B+C+D)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","자치단체자산(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","지방공공기관자산(B)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","교육재정자산(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","내(외)부거래(D)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","통합재정수지비율((A-(B+C))/D)*100"
2003,"경남","Gyeongsangnam-do","경상남도","","통합재정규모(D)(백만원)"
