year,local,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2003,서울,11,Seoul,서울특별시,,,,,,,,,,,,,,,,"13,618,643","9,681,242","659,389","3,278,012",29.8,20.75,9.06,"1,796,883","784,251","8,660,000",745,"7,608,231","212,213,320","266,033,918",,,,,,,95.9,95.9,6.4,"10,174,086",새천년민주당,3rd,이명박,한나라당,52.28,김민석,새천년민주당,43.02
2003,부산,26,Busan,부산광역시,,,,,,,,,,,,,,,,"4,471,155","3,081,212","536,179","853,763",37.5,12.49,25.03,"331,519","664,267","2,653,464",456,"1,701,397","47,878,610","59,924,431",,,,,,,74.9,83.2,7.3,"3,691,445",새천년민주당,3rd,안상영,한나라당,63.76,한이헌,새천년민주당,19.39
2003,대구,27,Daegu,대구광역시,,,,,,,,,,,,,,,,"3,021,446","1,909,619","307,075","804,752",33,9.79,23.23,"158,729","376,413","1,620,700",432,"1,090,773","28,643,337","36,396,595",,,,,,,76.4,87.9,6.9,"2,529,544",새천년민주당,3rd,조해녕,한나라당,61.18,이재용,무소속,38.81
2003,인천,28,Incheon,인천광역시,,,,,,,,,,,,,,,,"2,918,740","1,916,000","567,862","434,878",41.2,15.87,25.36,"291,619","466,071","1,837,533",520,"1,339,424","40,605,167","52,157,498",,,,,,,74.6,83.9,6.3,"2,570,194",새천년민주당,3rd,안상수,한나라당,56.17,박상은,새천년민주당,32.11
2003,광주,29,Gwangju,광주광역시,,,,,,,,,,,,,,,,"2,004,631","1,267,577","173,202","563,852",42.7,9.24,33.5,"102,448","371,312","1,108,497",407,"568,275","17,281,413","22,585,186",,,,,,,63,78.1,6.4,"1,395,762",새천년민주당,3rd,박광태,새천년민주당,46.81,정동년,무소속,27.04
2003,대전,30,Daejeon,대전광역시,,,,,,,,,,,,,,,,"1,797,353","1,274,352","154,259","368,742",42.2,9.24,32.94,"94,376","336,444","1,021,439",472,"669,827","19,968,379","26,757,005",,,,,,,73.6,85.3,6.3,"1,432,296",새천년민주당,3rd,염홍철,한나라당,46.61,홍선기,자민련,40.2
2003,울산,31,Ulsan,울산광역시,,,,,,,,,,,,,,,,"1,198,613","940,276","205,223","53,113",45.7,17.52,28.17,"143,853","231,260","820,991",467,"496,906","36,428,846","54,100,049",,,,,,,71.6,90.6,4.7,"1,072,867",새천년민주당,3rd,박맹우,한나라당,53.07,송철호,민주노동당,43.61
2003,세종,36,Sejong-si,세종특별자치시,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,새천년민주당,3rd,,,,,,
2003,경기,41,Gyeonggi-do,경기도,,,,,,,,,,,,,,,,"9,036,566","7,535,141","947,127","554,297",45.2,20.03,25.21,"1,303,331","1,640,231","6,505,798",491,"4,870,000","164,060,992","196,745,165",,,,,,,78,90.8,6.5,"10,206,851",새천년민주당,3rd,손학규,한나라당,58.37,진념,새천년민주당,35.98
2003,강원,42,Gangwon-do,강원도,,,,,,,,,,,,,,,,"3,122,220","2,805,872","213,556","102,793",68.3,8.25,60.09,"115,744","843,325","1,403,470",208,"319,800","22,422,806","28,861,908",,,,,,,26.7,81.7,10.9,"1,527,034",새천년민주당,3rd,김진선,한나라당,71.11,남동우,새천년민주당,28.88
2003,충북,43,Chungcheongbuk-do,충청북도,,,,,,,,,,,,,,,,"1,705,676","1,505,914","83,686","116,076",77.7,20.98,56.69,"248,433","671,422","1,184,335",192,"285,880","24,823,269","30,693,993",,,,,,,31.4,81.8,10.4,"1,489,635",새천년민주당,3rd,이원종,한나라당,58.59,구천서,자민련,33.47
2003,충남,44,Chungcheongnam-do,충청남도,,,,,,,,,,,,,,,,"2,274,760","1,898,683","206,067","170,010",81,16.9,64.15,"290,086","1,101,341","1,716,765",207,"395,100","43,579,448","55,468,963",,,,,,,29.8,76.3,12.8,"1,912,803",새천년민주당,3rd,심대평,자민련,66.96,박태권,한나라당,33.03
2003,전북,45,Jeollabuk-do,전라북도,,,,,,,,,,,,,,,,"2,141,764","1,842,218","114,507","185,038",81.5,16.74,64.81,"273,149","1,057,786","1,632,059",164,"320,000","24,751,250","32,768,805",,,,,,,25.6,79.3,11.8,"1,954,430",새천년민주당,3rd,강현욱,새천년민주당,74.56,손주항,무소속,17.12
2003,전남,46,Jellanam-do,전라남도,,,,,,,,,,,,,,,,"3,160,822","2,623,756","227,477","309,589",81.8,5.39,76.44,"115,251","1,633,068","2,136,333",155,"317,562","39,239,142","52,730,314",,,,,,,21,73.6,14.1,"2,017,730",새천년민주당,3rd,박태영,새천년민주당,57.76,송재구,무소속,24.24
2003,경북,47,Gyeongsangbuk-do,경상북도,,,,,,,,,,,,,,,,"3,508,680","3,094,338","182,237","232,105",73,8.01,64.97,"159,942","1,297,054","1,996,300",178,"490,000","56,811,693","65,372,870",,,,,,,29.2,81.8,12.3,"2,720,832",새천년민주당,3rd,이의근,한나라당,85.49,조영건,무소속,14.5
