year,local,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2003,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"782,683","726,523","38,540","17,620",58.7,16.28,42.4,"46,817","121,906","287,518",236,"54,300",,,,,,,,,27.7,69.5,10.1,"229,073",새천년민주당,3rd,심기섭,한나라당,44.97,선복기,새천년민주당,24.97
2004,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"750,348","684,312","49,019","17,017",63.8,20,43.81,"61,245","134,185","306,271",255,"58,442",,,,,,,,,28.7,69.9,10.6,"227,259",새천년민주당,3rd,심기섭,한나라당,44.97,선복기,새천년민주당,24.97
2005,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"471,236","403,447","47,722","20,067",58.9,26.73,32.14,"80,464","96,737","300,975",295,"67,102",,,,,,,,,33.4,80.8,11.2,"224,391",새천년민주당,3rd,심기섭,한나라당,44.97,선복기,새천년민주당,24.97
2006,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"427,918","355,733","54,412","17,773",62.3,25.52,36.76,"87,698","126,348","343,696",303,"67,918",,,,,,,,,26.5,72.6,11.8,"222,016",열린우리당,4th,최명희,한나라당,62.55,정부교,열린우리당,13.67
2007,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"507,407","507,407","507,407","507,407",62.3,19.74,42.57,"68,423","147,545","346,615",300,"66,701",,,,,,,,,25.8,70.5,12.6,"220,484",열린우리당,4th,최명희,한나라당,62.55,정부교,열린우리당,13.67
2008,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,"559,363","485,708","67,133","6,522",76.8,35.94,40.87,"152,493","173,400","424,287",333,"73,421",,,5.9,"31,494","532,443",20.1,"100,048","7,154",23.9,70.4,13.1,"218,399",한나라당,4th,최명희,한나라당,62.55,정부교,열린우리당,13.67
2009,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-8.78,"603,119","550,147","597,730","5,389","623,298","552,358","63,556","7,384",77.8,32.4,45.37,"152,804","213,950","471,550",350,"76,505",,,4.5,"24,797","555,837",23.6,"124,007","7,016",22.9,70.1,13.7,"217,464",한나라당,4th,최명희,한나라당,62.55,정부교,열린우리당,13.67
2010,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-4.68,"554,932","528,936","548,210","6,721","561,203","503,759","50,352","7,092",78.1,33.77,44.28,"156,356","205,036","463,016",363,"78,866",,,6.5,"32,635","505,404",26.5,"126,693","7,463",24.3,70.3,14.3,"218,503",한나라당,5th,최명희,한나라당,79.57,박종덕,친박연합,20.42
2011,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-0.83,"580,353","575,545","575,245","5,107","562,225","496,467","60,049","5,709",77.2,33.08,44.09,"157,623","210,084","476,498",367,"80,295",,,5.7,"30,710","538,022",25.9,"131,737","7,596",23.1,70.9,14.8,"217,571",한나라당,5th,최명희,한나라당,79.57,박종덕,친박연합,20.42
2012,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-4.09,"658,055","631,145","655,110","2,946","626,367","551,236","69,545","5,585",78.5,31.42,47.11,"161,510","242,174","514,088",377,"81,945",,,5.8,"35,092","601,207",25.5,"142,164","10,982",21.5,68.8,15.4,"217,741",한나라당,5th,최명희,한나라당,79.57,박종덕,친박연합,20.42
2013,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-5.29,"677,798","641,936","674,565","3,233","675,114","585,858","81,706","7,550",77.8,34.27,43.58,"181,887","231,270","530,734",379,"82,600",,,5.1,"31,838","622,040",28,"163,879","10,137",21.3,69.8,16.1,"216,806",한나라당,5th,최명희,한나라당,79.57,박종덕,친박연합,20.42
2014,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,-6.06,"701,516","658,987","697,104","4,413","682,656","602,481","73,420","6,756",78.3,31.14,47.17,"179,864","272,392","577,524",385,"83,500",,,5.4,"34,515","644,376",29.6,"178,668","12,341",17.4,64.6,16.7,"215,807",새누리당,6th,최명희,새누리당,70.4,홍기업,새정치민주연합,29.59
2015,강원강릉시,42150,Gangneung-si,강릉시,"143,131","168,059","1,272",0,"26,200","4,526,939","4,489,804","44,701",0,"7,566",-8.84,"749,500","683,209","745,450","4,050","733,041","655,843","69,698","7,500",78,31.85,46.14,"190,644","276,190","598,590",391,"84,300",,,5.4,"36,226","676,382",30.7,"193,470","14,079",17.4,65.2,17.2,"214,560",새누리당,6th,최명희,새누리당,70.4,홍기업,새정치민주연합,29.59
2016,강원강릉시,42150,Gangneung-si,강릉시,"191,698","189,903","1,795",0,0,"4,654,659","4,616,179","46,046",0,"7,566",-1.63,"759,321","746,982","733,159","26,162","799,357","712,328","79,591","7,437",80.1,34.83,45.25,"226,635","294,389","650,654",418,"89,730",,,5,"38,301","766,736",28.6,"206,088","12,923",17.1,59.6,17.6,"213,846",새누리당,6th,최명희,새누리당,70.4,홍기업,새정치민주연합,29.59
2017,강원강릉시,42150,Gangneung-si,강릉시,"132,048","129,761","2,286",0,0,"4,776,903","4,734,479","49,990",0,"7,566",4.02,"832,352","865,809","832,382",-31,"925,729","829,428","88,119","8,182",80,35.25,44.74,"235,780","299,247","668,797",485,"103,700",,,4.8,"41,352","867,897",27.6,"224,747","15,205",18.7,61.4,18.6,"213,952",새정치민주연합,6th,최명희,새누리당,70.4,홍기업,새정치민주연합,29.59
2018,강원강릉시,42150,Gangneung-si,강릉시,"102,023","99,729","2,294",0,0,"4,886,821","4,846,434","47,954",0,"7,566",17.72,"787,289","926,759","787,239",50,"843,547","760,407","67,896","15,245",79.1,34.72,44.4,"266,822","341,165","768,395",531,"113,700",,,6.4,"55,476","869,497",30.7,"250,434","16,422",18.2,63.1,19.4,"212,957",더불어민주당,7th,김한근,자유한국당,43.02,최옥철,더불어민주당,36.59
2019,강원강릉시,42150,Gangneung-si,강릉시,"138,706","133,881","4,825",0,0,"5,163,860","5,124,373","47,694",0,"8,206",17.67,"989,853","1,164,797","989,193",661,"1,099,327","957,037","92,158","50,132",81.9,33.19,48.72,"280,048","411,118","843,820",539,"114,700",,,4.5,"52,535","1,158,240",29.1,"318,854","17,735",17.4,62,20.2,"213,442",더불어민주당,7th,김한근,자유한국당,43.02,최옥철,더불어민주당,36.59
2020,강원강릉시,42150,Gangneung-si,강릉시,"120,932","116,799","4,133",0,0,"5,230,097","5,182,654","55,650",0,"8,206",-9.81,"1,285,522","1,159,408","1,285,551",-29,"1,324,155","1,165,066","104,828","54,262",83.4,30.75,52.62,"290,355","496,823","944,104",591,"126,125",,,3.8,"44,384","1,153,456",35.8,"394,004","18,765",17.8,61.5,21.3,"213,321",더불어민주당,7th,김한근,자유한국당,43.02,최옥철,더불어민주당,36.59
2021,강원강릉시,42150,Gangneung-si,강릉시,"159,194","154,657","4,537",0,0,"5,481,886","5,431,460","58,633",0,"8,206",-0.51,"1,332,623","1,325,846","1,332,710",-87,"1,394,760","1,243,853","117,619","33,288",84.6,30.04,54.58,"323,211","587,186","1,075,823",567,"121,025",,,3.4,"1,331,112","45,663",35.3,"445,696","23,527",15.5,54.1,22.2,"212,965",더불어민주당,7th,김한근,자유한국당,43.02,최옥철,더불어민주당,36.59
2022,강원강릉시,42150,Gangneung-si,강릉시,,,,,,,,,,,,,,,,,,,,85,29.72,55.31,"354,099","658,942","1,191,401",619,"131,902",,,,,,,,,15.1,57.8,23.5,"211,381",국민의힘,8th,김홍규,국민의힘,43.92,김우영,더불어민주당,29.68
2003,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"279,281","274,292","4,451",538,72.1,17.19,54.94,"20,335","64,993","118,307",197,"6,638",,,,,,,,,15.5,63.9,14.7,"32,739",새천년민주당,3rd,함형구,한나라당,43.66,황종국,무소속,38.63
2004,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"204,276","199,136","4,618",523,73,16.71,56.25,"21,032","70,815","125,888",239,"7,826",,,,,,,,,19.3,68.6,15.6,"32,361",새천년민주당,3rd,함형구,한나라당,43.66,황종국,무소속,38.63
2005,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"157,648","152,620","4,411",616,73.2,22.97,50.2,"32,714","71,506","142,436",271,"8,773",,,,,,,,,17.5,66.3,16.3,"31,964",새천년민주당,3rd,함형구,한나라당,43.66,황종국,무소속,38.63
2006,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"171,030","164,511","5,822",697,71.8,21.41,50.4,"32,785","77,179","153,125",249,"7,957",,,,,,,,,14,64.2,17.4,"31,285",열린우리당,4th,함형구,한나라당,48.43,김원기,무소속,32.21
2007,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"186,625","186,625","186,625","186,625",70.6,20.97,49.63,"35,252","83,420","168,091",275,"8,602",,,,,,,,,13.7,62.9,18.7,"30,383",열린우리당,4th,함형구,한나라당,48.43,김원기,무소속,32.21
2008,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,"207,029","197,138","8,048","1,844",78.9,34.21,44.7,"60,433","78,973","176,668",305,"9,252",,,8.8,"18,649","211,055",12.1,"23,658","1,823",14.6,65.2,19.5,"30,172",한나라당,4th,함형구,한나라당,48.43,김원기,무소속,32.21
2009,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-9.77,"220,185","198,680","218,133","2,052","246,638","234,561","9,517","2,560",80.2,33.86,46.32,"64,604","88,376","190,811",337,"10,170",,,4.4,"9,493","218,208",15.5,"29,066","4,722",12.6,61.8,20,"30,272",한나라당,4th,함형구,한나라당,48.43,김원기,무소속,32.21
